"Label" "Value" "StdDev" "(Val-1.0)/Stddev" "CumNorm"
"Bratio_1988" "Bratio_1988" 0.394904 0.0829518 -7.29455 1.50958e-13
"Bratio_1989" "Bratio_1989" 0.508469 0.111338 -4.41475 5.06064e-06
"Bratio_1990" "Bratio_1990" 0.676212 0.152872 -2.11804 0.0170859
"Bratio_1991" "Bratio_1991" 0.602057 0.120906 -3.29134 0.000498609
"Bratio_1992" "Bratio_1992" 0.572742 0.123098 -3.47087 0.000259429
"Bratio_1993" "Bratio_1993" 0.672951 0.146893 -2.22644 0.0129923
"Bratio_1994" "Bratio_1994" 0.759888 0.178376 -1.3461 0.0891354
"Bratio_1995" "Bratio_1995" 0.708747 0.163896 -1.77706 0.037779
"Bratio_1996" "Bratio_1996" 0.760481 0.156996 -1.52564 0.0635497
"Bratio_1997" "Bratio_1997" 0.737791 0.153555 -1.70759 0.0438562
"Bratio_1998" "Bratio_1998" 0.853744 0.155031 -0.943398 0.172739
"Bratio_1999" "Bratio_1999" 1.05412 0.173272 0.312316 0.6226
"Bratio_2000" "Bratio_2000" 1.15338 0.186222 0.82366 0.794934
"Bratio_2001" "Bratio_2001" 1.36908 0.208052 1.77399 0.961967
"Bratio_2002" "Bratio_2002" 1.37052 0.200817 1.84508 0.967487
"Bratio_2003" "Bratio_2003" 1.23925 0.173971 1.37525 0.915473
"Bratio_2004" "Bratio_2004" 1.19613 0.157959 1.24165 0.892817
"Bratio_2005" "Bratio_2005" 1.0117 0.141205 0.0828852 0.533029
"Bratio_2006" "Bratio_2006" 0.886296 0.137165 -0.828958 0.203564
"Bratio_2007" "Bratio_2007" 0.829166 0.14057 -1.21529 0.112128
"Bratio_2008" "Bratio_2008" 0.904587 0.145967 -0.653665 0.256664
"Bratio_2009" "Bratio_2009" 1.02768 0.159022 0.174077 0.569097
"Bratio_2010" "Bratio_2010" 0.952718 0.140714 -0.336012 0.368431
"Bratio_2011" "Bratio_2011" 0.803476 0.114284 -1.71961 0.0427516
"Bratio_2012" "Bratio_2012" 0.630838 0.0961192 -3.84067 6.13709e-05
"Bratio_2013" "Bratio_2013" 0.473915 0.0809634 -6.49781 4.09481e-11
"Bratio_2014" "Bratio_2014" 0.427881 0.074617 -7.66742 8.85301e-15
"Bratio_2015" "Bratio_2015" 0.387701 0.0677007 -9.04421 7.65019e-20
"Bratio_2016" "Bratio_2016" 0.395957 0.0730252 -8.2717 6.67833e-17
"Bratio_2017" "Bratio_2017" 0.439916 0.0804616 -6.96089 1.70145e-12
"Bratio_2018" "Bratio_2018" 0.485155 0.0868987 -5.92466 1.57006e-09
"Bratio_2019" "Bratio_2019" 0.444823 0.0795226 -6.98138 1.47092e-12
"Bratio_2020" "Bratio_2020" 0.36509 0.0745775 -8.51343 8.5486e-18
"Bratio_2021" "Bratio_2021" 0.339804 0.0839283 -7.86618 1.84587e-15
"Bratio_2022" "Bratio_2022" 0.527797 0.13716 -3.44271 0.000288011
"Bratio_2023" "Bratio_2023" 0.875065 0.235647 -0.530177 0.297995
"SSB_unfished" "SSB_unfished" 12287.9 342.675 NA NA
"Totbio_unfished" "Totbio_unfished" 20101.9 588.093 NA NA
"SmryBio_unfished" "SmryBio_unfished" 20101.9 588.093 NA NA
"Recr_unfished" "Recr_unfished" 180.444 5.03207 NA NA
"SSB_Btgt" "SSB_Btgt" 3686.38 102.802 NA NA
"SPR_Btgt" "SPR_Btgt" 0.34375 4.0749e-18 NA NA
"annF_Btgt" "annF_Btgt" 0.573178 0.0296481 NA NA
"Dead_Catch_Btgt" "Dead_Catch_Btgt" 2093.04 58.2919 NA NA
"SSB_SPR" "SSB_SPR" 3112.94 86.8109 NA NA
"annF_SPR" "annF_SPR" 0.674216 0.0354578 NA NA
"Dead_Catch_SPR" "Dead_Catch_SPR" 2149.36 59.8423 NA NA
"SSB_MSY" "SSB_MSY" 2584.16 80.8929 NA NA
"SPR_MSY" "SPR_MSY" 0.259657 0.0020706 NA NA
"annF_MSY" "annF_MSY" 0.790162 0.0425455 NA NA
"Dead_Catch_MSY" "Dead_Catch_MSY" 2169.34 60.4721 NA NA
"Ret_Catch_MSY" "Ret_Catch_MSY" 2169.34 60.4721 NA NA
"B_MSY/SSB_unfished" "B_MSY/SSB_unfished" 0.2103 0.00220864 NA NA
"ForeCatch_2023" "ForeCatch_2023" 1691.12 142.247 NA NA
"OFLCatch_2023" "OFLCatch_2023" 1691.12 142.247 NA NA
"ln(SPB)_1952" "ln(SPB)_1952" 9.92763 0.182961 NA NA
"ln(SPB)_1987" "ln(SPB)_1987" 7.34183 0.133615 NA NA
