Fleet,Length,Sel
7,40.5,2.33765e-09
8,40.5,2.33765e-09
9,40.5,2.33219e-09
10,40.5,7.84238e-12
11,40.5,1.5431e-08
12,40.5,2.33528e-09
13,40.5,2.32744e-09
14,40.5,2.35908e-09
15,40.5,2.33528e-09
16,40.5,2.32883e-09
17,40.5,1.53124e-07
18,40.5,0.000586417
19,40.5,2.36487e-09
20,40.5,2.35478e-09
1,41.5,1.9242e-08
2,41.5,2.33711e-09
3,41.5,2.32917e-09
4,41.5,2.36752e-09
5,41.5,2.36752e-09
6,41.5,2.35689e-09
7,41.5,2.33952e-09
8,41.5,2.33952e-09
9,41.5,2.33398e-09
10,41.5,9.16098e-12
11,41.5,1.9242e-08
12,41.5,2.33711e-09
13,41.5,2.32917e-09
14,41.5,2.36752e-09
15,41.5,2.33711e-09
16,41.5,2.33058e-09
17,41.5,1.87239e-07
18,41.5,0.000636968
19,41.5,2.36712e-09
20,41.5,2.35689e-09
1,42.5,2.41242e-08
2,42.5,2.33897e-09
3,42.5,2.33092e-09
4,42.5,2.37835e-09
5,42.5,2.37835e-09
6,42.5,2.35902e-09
7,42.5,2.34141e-09
8,42.5,2.34141e-09
9,42.5,2.3358e-09
10,42.5,1.07013e-11
11,42.5,2.41242e-08
12,42.5,2.33897e-09
13,42.5,2.33092e-09
14,42.5,2.37835e-09
15,42.5,2.33897e-09
16,42.5,2.33235e-09
17,42.5,2.28771e-07
18,42.5,0.000691557
19,42.5,2.3694e-09
20,42.5,2.35902e-09
1,43.5,3.03672e-08
2,43.5,2.34085e-09
3,43.5,2.33269e-09
4,43.5,2.39241e-09
5,43.5,2.39241e-09
6,43.5,2.36118e-09
7,43.5,2.34332e-09
8,43.5,2.34332e-09
9,43.5,2.33764e-09
10,43.5,1.25006e-11
11,43.5,3.03672e-08
12,43.5,2.34085e-09
13,43.5,2.33269e-09
14,43.5,2.39241e-09
15,43.5,2.34085e-09
16,43.5,2.33415e-09
17,43.5,2.79262e-07
18,43.5,0.000750477
19,43.5,2.37172e-09
20,43.5,2.36118e-09
1,44.5,3.83358e-08
2,44.5,2.34276e-09
3,44.5,2.33449e-09
4,44.5,2.41081e-09
5,44.5,2.41081e-09
6,44.5,2.36338e-09
7,44.5,2.34527e-09
8,44.5,2.34527e-09
9,44.5,2.3395e-09
10,44.5,1.46024e-11
11,44.5,3.83358e-08
12,44.5,2.34276e-09
13,44.5,2.33449e-09
14,44.5,2.41081e-09
15,44.5,2.34276e-09
16,44.5,2.33598e-09
17,44.5,3.4056e-07
18,44.5,0.000814041
19,44.5,2.37408e-09
20,44.5,2.36338e-09
1,45.5,4.84878e-08
2,45.5,2.34469e-09
3,45.5,2.33631e-09
4,45.5,2.43505e-09
5,45.5,2.43505e-09
6,45.5,2.36561e-09
7,45.5,2.34723e-09
8,45.5,2.34723e-09
9,45.5,2.34139e-09
10,45.5,1.70576e-11
11,45.5,4.84878e-08
12,45.5,2.34469e-09
13,45.5,2.33631e-09
14,45.5,2.43505e-09
15,45.5,2.34469e-09
16,45.5,2.33783e-09
17,45.5,4.14876e-07
18,45.5,0.000882582
19,45.5,2.37647e-09
20,45.5,2.36561e-09
1,46.5,6.13978e-08
2,46.5,2.34666e-09
3,46.5,2.33816e-09
4,46.5,2.46712e-09
5,46.5,2.46712e-09
6,46.5,2.36787e-09
7,46.5,2.34923e-09
8,46.5,2.34923e-09
9,46.5,2.3433e-09
10,46.5,1.99256e-11
11,46.5,6.13978e-08
