Area,Sex,Yr,Age,B
1,1,1999,9,1.11219
1,1,2000,9,1.31569
1,1,2001,9,2.44015
1,1,2002,9,4.66395
1,1,2003,9,5.80138
1,1,2004,9,5.25489
1,1,2005,9,19.3869
1,1,2006,9,13.7328
1,1,2007,9,19.236
1,1,2008,9,15.6742
1,1,2009,9,4.63816
1,1,2010,9,20.3777
1,1,2011,9,11.4276
1,1,2012,9,9.73612
1,1,2013,9,7.8553
1,1,2014,9,5.37147
1,1,2015,9,7.32657
1,1,2016,9,2.18365
1,1,2017,9,1.51713
1,1,2018,9,1.54078
1,1,2019,9,1.63294
1,1,2020,9,1.16869
1,1,2021,9,1.48595
1,1,2022,9,2.34138
1,1,1952,10,1271.59
1,1,1953,10,1288.56
1,1,1954,10,1212.24
1,1,1955,10,753.819
1,1,1956,10,619.581
1,1,1957,10,587.693
1,1,1958,10,699.961
1,1,1959,10,369.339
1,1,1960,10,214.18
1,1,1961,10,144.934
1,1,1962,10,95.3805
1,1,1963,10,59.6257
1,1,1964,10,34.8215
1,1,1965,10,27.8704
1,1,1966,10,22.5098
1,1,1967,10,20.4035
1,1,1968,10,27.7386
1,1,1969,10,24.1027
1,1,1970,10,30.0663
1,1,1971,10,13.4689
1,1,1972,10,5.15462
1,1,1973,10,2.60459
1,1,1974,10,1.27593
1,1,1975,10,0.662827
1,1,1976,10,0.474383
1,1,1977,10,0.40452
1,1,1978,10,0.841073
1,1,1979,10,1.87249
1,1,1980,10,3.64701
1,1,1981,10,6.95201
1,1,1982,10,4.77073
1,1,1983,10,8.24276
1,1,1984,10,4.5519
1,1,1985,10,2.67344
1,1,1986,10,3.74457
1,1,1987,10,3.19561
1,1,1988,10,3.69278
1,1,1989,10,1.6849
1,1,1990,10,1.12157
1,1,1991,10,0.518332
1,1,1992,10,0.674534
1,1,1993,10,0.573036
1,1,1994,10,0.558533
1,1,1995,10,0.243764
1,1,1996,10,0.343339
1,1,1997,10,1.25254
1,1,1998,10,0.848048
1,1,1999,10,0.555007
1,1,2000,10,0.598016
1,1,2001,10,0.822778
1,1,2002,10,1.51618
1,1,2003,10,2.89566
1,1,2004,10,3.40714
1,1,2005,10,3.6622
1,1,2006,10,9.59804
1,1,2007,10,10.0465
1,1,2008,10,12.7742
1,1,2009,10,12.1823
1,1,2010,10,7.90995
1,1,2011,10,12.5046
1,1,2012,10,8.8632
1,1,2013,10,6.19482
1,1,2014,10,5.07542
1,1,2015,10,3.31118
1,1,2016,10,3.10119
1,1,2017,10,1.71385
1,1,2018,10,1.31593
1,1,2019,10,1.05259
1,1,2020,10,0.926743
1,1,2021,10,0.747071
1,1,2022,10,0.74989
